Loading parameters from parameters.yml: a success
Starting Simulation
day	diversity	tmrca	netau	serialInterval	antigenicDiversity	N	S	I	R	cases	meanLoad	antigenicTypes	cumulativeTypes
New ant mutant distance = 0.004107687775946097 Day = 1 Antigen Mutation on Type = 0
10	0.033	0.025	0.274	0.005	0.000	4000	3951	49	0	134	11.000	1	1
20	0.063	0.052	0.274	0.007	0.000	4000	3971	29	0	79	11.000	1	1
30	0.096	0.079	0.274	0.007	0.000	4000	3979	21	0	46	11.000	1	1
40	0.120	0.107	0.274	0.008	0.000	4000	3979	21	0	37	12.000	1	1
50	0.161	0.134	0.274	0.010	0.000	4000	3979	21	0	43	12.000	1	1
60	0.225	0.162	0.274	0.006	0.000	4000	3975	25	0	39	12.000	1	1
70	0.190	0.189	0.274	0.009	0.000	4000	3979	21	0	39	12.000	1	1
80	0.255	0.216	0.274	0.006	0.000	4000	3977	23	0	39	12.000	1	1
90	0.274	0.244	0.274	0.007	0.000	4000	3980	20	0	34	11.000	1	1
100	0.341	0.271	0.274	0.008	0.000	4000	3979	21	0	28	12.000	1	1
110	0.338	0.296	1.370	0.006	0.000	4000	3980	20	0	34	12.000	1	1
120	0.406	0.326	1.957	0.007	0.000	4000	3976	24	0	40	11.000	1	1
130	0.403	0.353	1.054	0.007	0.000	4000	3977	23	0	37	11.000	1	1
140	0.470	0.381	1.712	0.008	0.000	4000	3976	24	0	41	11.000	1	1
150	0.544	0.408	1.442	0.006	0.000	4000	3976	24	0	40	11.000	1	1
160	0.563	0.436	1.612	0.007	0.000	4000	3975	25	0	48	10.000	1	1
170	0.535	0.463	1.442	0.011	0.000	4000	3980	20	0	36	12.000	1	1
180	0.617	0.490	1.712	0.012	0.000	4000	3976	24	0	32	11.000	1	1
190	0.636	0.518	1.712	0.016	0.000	4000	3978	22	0	33	12.000	1	1
200	0.610	0.545	1.612	0.011	0.000	4000	3980	20	0	31	12.000	1	1
210	0.633	0.573	1.015	0.009	0.000	4000	3977	23	0	30	12.000	1	1
220	0.741	0.600	1.442	0.010	0.000	4000	3978	22	0	31	11.000	1	1
