date	diversity	tmrca	netau	serialInterval	antigenicDiversity	totalN	totalS	totalI	totalR	totalCases	tropicsDiversity	tropicsTmrca	tropicsNetau	tropicsSerialInterval	tropicsAntigenicDiversity	tropicsN	tropicsS	tropicsI	tropicsR	tropicsCases
0.0274	0.0333	0.0247	0.2740	0.00526	0.0000	4000	3951	49	0	134	0.0317	0.0247	0.2740	0.00559	0.0000	4000	3951	49	0	134
0.0548	0.0634	0.0521	0.2740	0.00690	0.0000	4000	3971	29	0	79	0.0689	0.0521	0.2740	0.00707	0.0000	4000	3971	29	0	79
0.0822	0.0962	0.0795	0.2740	0.00652	0.0000	4000	3979	21	0	46	0.1026	0.0795	0.2740	0.00800	0.0000	4000	3979	21	0	46
0.1096	0.1198	0.1068	0.2740	0.00775	0.0000	4000	3979	21	0	37	0.1356	0.1068	0.2740	0.00923	0.0000	4000	3979	21	0	37
0.1370	0.1606	0.1342	0.2740	0.00956	0.0000	4000	3979	21	0	43	0.1649	0.1342	0.2740	0.01005	0.0000	4000	3979	21	0	43
0.1644	0.2250	0.1616	0.2740	0.00647	0.0000	4000	3975	25	0	39	0.1911	0.1616	0.2740	0.00690	0.0000	4000	3975	25	0	39
0.1918	0.1900	0.1890	0.2740	0.00896	0.0000	4000	3979	21	0	39	0.1974	0.1890	0.2740	0.00833	0.0000	4000	3979	21	0	39
0.2192	0.2548	0.2164	0.2740	0.00647	0.0000	4000	3977	23	0	39	0.2724	0.2164	0.2740	0.00507	0.0000	4000	3977	23	0	39
0.2466	0.2743	0.2438	0.2740	0.00652	0.0000	4000	3980	20	0	34	0.2782	0.2425	0.2740	0.01008	0.0000	4000	3980	20	0	34
0.2740	0.3409	0.2712	0.2740	0.00830	0.0000	4000	3979	21	0	28	0.3034	0.2712	0.2740	0.00718	0.0000	4000	3979	21	0	28
0.3014	0.3378	0.2959	1.3699	0.00567	0.0000	4000	3980	20	0	34	0.3176	0.2973	1.0959	0.00740	0.0000	4000	3980	20	0	34
0.3288	0.4057	0.3260	1.9569	0.00726	0.0000	4000	3976	24	0	40	0.3762	0.3260	1.1912	0.00800	0.0000	4000	3976	24	0	40
0.3562	0.4027	0.3534	1.0537	0.00707	0.0000	4000	3977	23	0	37	0.4258	0.3534	1.4420	0.00841	0.0000	4000	3977	23	0	37
0.3836	0.4702	0.3808	1.7123	0.00819	0.0000	4000	3976	24	0	41	0.4960	0.3808	1.6116	0.00789	0.0000	4000	3976	24	0	41
0.4110	0.5438	0.4082	1.4420	0.00644	0.0000	4000	3976	24	0	40	0.5056	0.4082	1.7123	0.00490	0.0000	4000	3976	24	0	40
0.4384	0.5635	0.4356	1.6116	0.00652	0.0000	4000	3975	25	0	48	0.5135	0.4356	1.3046	0.00567	0.0000	4000	3975	25	0	48
0.4658	0.5354	0.4630	1.4420	0.01060	0.0000	4000	3980	20	0	36	0.5645	0.4630	2.1075	0.01055	0.0000	4000	3980	20	0	36
0.4932	0.6166	0.4904	1.7123	0.01230	0.0000	4000	3976	24	0	32	0.5558	0.4904	1.3046	0.01216	0.0000	4000	3976	24	0	32
0.5205	0.6361	0.5178	1.7123	0.01586	0.0000	4000	3978	22	0	33	0.5790	0.5178	1.2453	0.01501	0.0000	4000	3978	22	0	33
0.5479	0.6105	0.5452	1.6116	0.01110	0.0000	4000	3980	20	0	31	0.5685	0.5452	1.0959	0.01137	0.0000	4000	3980	20	0	31
0.5753	0.6333	0.5726	1.0147	0.00890	0.0000	4000	3977	23	0	30	0.6889	0.5726	1.6116	0.00890	0.0000	4000	3977	23	0	30
0.6027	0.7410	0.6000	1.4420	0.00967	0.0000	4000	3978	22	0	31	0.7025	0.6000	1.5221	0.00970	0.0000	4000	3978	22	0	31
0.6301	0.6792	0.6274	1.1912	0.01318	0.0000	4000	3979	21	0	20	0.6979	0.6274	1.1416	0.01373	0.0000	4000	3979	21	0	20
0.6575	0.7992	0.6521	1.6116	0.00707	0.0000	4000	3981	19	0	21	0.7498	0.6534	1.5221	0.00822	0.0000	4000	3981	19	0	21
0.6849	0.7249	0.6781	1.4420	0.01112	0.0000	4000	3980	20	0	21	0.7914	0.6822	1.4420	0.01293	0.0000	4000	3980	20	0	21
0.7123	0.8380	0.7096	2.4907	0.00745	0.0000	4000	3978	22	0	29	0.8742	0.7096	1.8265	0.01101	0.0000	4000	3978	22	0	29
0.7397	0.9607	0.7370	2.2831	0.01025	0.0000	4000	3978	22	0	25	0.9074	0.7370	1.7123	0.01140	0.0000	4000	3978	22	0	25
0.7671	0.9307	0.7644	2.4907	0.01049	0.0000	4000	3979	21	0	24	0.8563	0.7630	1.5221	0.00992	0.0000	4000	3979	21	0	24
0.7945	0.7619	0.7890	0.9447	0.01249	0.0000	4000	3981	19	0	19	0.9065	0.7863	1.6116	0.01159	0.0000	4000	3981	19	0	19
0.8219	0.8909	0.8178	1.1416	0.01060	0.0000	4000	3979	21	0	24	0.9173	0.8192	1.7123	0.01164	0.0000	4000	3979	21	0	24
0.8493	0.9227	0.8452	1.1416	0.00995	0.0000	4000	3980	20	0	17	0.9845	0.8452	1.2453	0.00833	0.0000	4000	3980	20	0	17
0.8767	1.0759	0.8740	1.4420	0.00893	0.0000	4000	3978	22	0	31	0.9965	0.8740	1.1416	0.00836	0.0000	4000	3978	22	0	31
0.9041	1.0812	0.9014	1.8265	0.01474	0.0000	4000	3979	21	0	21	1.0505	0.9014	1.5221	0.01384	0.0000	4000	3979	21	0	21
0.9315	1.2476	0.9288	2.2831	0.01271	0.0000	4000	3978	22	0	28	1.2045	0.9288	2.4907	0.00904	0.0000	4000	3978	22	0	28
0.9589	1.1886	0.9562	1.9569	0.01027	0.0000	4000	3978	22	0	21	1.2668	0.9562	2.4907	0.01463	0.0000	4000	3978	22	0	21
0.9863	1.1454	0.9836	1.3699	0.02216	0.0000	4000	3979	21	0	16	1.2435	0.9836	1.6116	0.01901	0.0000	4000	3979	21	0	16
1.0137	1.2482	1.0096	2.2831	0.01041	0.0000	4000	3979	21	0	26	1.1389	1.0096	1.3046	0.01121	0.0000	4000	3979	21	0	26
1.0411	1.3247	1.0384	2.4907	0.01233	0.0000	4000	3979	21	0	18	1.2916	1.0384	1.9569	0.01362	0.0000	4000	3979	21	0	18
1.0685	1.4577	1.0658	1.8265	0.01696	0.0000	4000	3977	23	0	22	1.4013	1.0658	2.4907	0.01748	0.0000	4000	3977	23	0	22
1.0959	1.2768	1.0877	1.4420	0.01485	0.0000	4000	3980	20	0	17	1.3497	1.0877	1.9569	0.01466	0.0000	4000	3980	20	0	17
1.1233	1.2699	1.1192	1.8265	0.01688	0.0000	4000	3980	20	0	17	1.3707	1.1192	2.1075	0.01526	0.0000	4000	3980	20	0	17
1.1507	1.2686	1.1425	1.5221	0.00992	0.0000	4000	3981	19	0	21	1.3310	1.1425	1.7123	0.01427	0.0000	4000	3981	19	0	21
1.1781	1.3903	1.1685	1.9569	0.01340	0.0000	4000	3981	19	0	20	1.3419	1.1699	1.5221	0.01526	0.0000	4000	3981	19	0	20
1.2055	1.2339	1.2027	1.7123	0.01205	0.0000	4000	3978	22	0	16	1.4859	1.2027	2.7397	0.01622	0.0000	4000	3978	22	0	16
1.2329	1.5397	1.2301	2.1075	0.02068	0.0000	4000	3979	21	0	15	1.4405	1.2301	1.8265	0.02452	0.0000	4000	3979	21	0	15
1.2603	1.5458	1.2562	1.7123	0.01082	0.0000	4000	3979	21	0	21	1.4264	1.2562	1.7123	0.00907	0.0000	4000	3979	21	0	21
1.2877	1.6557	1.2849	1.8265	0.00685	0.0000	4000	3978	22	0	21	1.5610	1.2849	1.6116	0.00666	0.0000	4000	3978	22	0	21
1.3151	1.5207	1.3123	2.2831	0.01403	0.0000	4000	3978	22	0	13	1.5213	1.3123	1.5221	0.01403	0.0000	4000	3978	22	0	13
1.3425	1.5485	1.3329	1.6116	0.01515	0.0000	4000	3981	19	0	17	1.6175	1.3329	2.7397	0.01211	0.0000	4000	3981	19	0	17
1.3699	1.6479	1.3644	1.9569	0.00784	0.0000	4000	3980	20	0	12	1.6840	1.3603	1.9569	0.00847	0.0000	4000	3980	20	0	12
1.3973	1.7125	1.3918	2.7397	0.01948	0.0000	4000	3980	20	0	12	1.4160	1.3890	1.2453	0.01773	0.0000	4000	3980	20	0	12
1.4247	1.8327	1.4219	2.2831	0.02468	0.0000	4000	3979	21	0	13	1.7437	1.4219	2.1075	0.02241	0.0000	4000	3979	21	0	13
1.4521	1.7318	1.4493	2.1075	0.01860	0.0000	4000	3979	21	0	10	1.5436	1.4493	1.3046	0.01701	0.0000	4000	3979	21	0	10
1.4795	1.5576	1.4740	1.4420	0.02510	0.0000	4000	3980	20	0	14	1.5239	1.4753	1.7123	0.02334	0.0000	4000	3980	20	0	14
1.5068	1.5635	1.5027	1.5221	0.01351	0.0000	4000	3980	20	0	12	1.5900	1.5027	1.4420	0.01499	0.0000	4000	3980	20	0	12
1.5342	1.7026	1.5274	1.4420	0.02666	0.0000	4000	3978	22	0	10	1.7828	1.5247	1.6116	0.02781	0.0000	4000	3978	22	0	10
1.5616	1.9160	1.5548	2.7397	0.01208	0.0000	4000	3982	18	0	20	1.7603	1.5548	2.4907	0.01033	0.0000	4000	3982	18	0	20
