date	meanR	varR	meanBeta	varBeta	meanSigma	varSigma	covBetaSigma
0.027397	-0.997032	0.000987	-0.663035	0.000987	-1.719928	0.000000	0.000000
0.054795	-1.052006	0.001342	-0.668071	0.001342	-1.769866	0.000000	0.000000
0.082192	-1.084308	0.001711	-0.671012	0.001711	-1.799226	0.000000	-0.000000
0.109589	-1.100447	0.001803	-0.668335	0.001803	-1.818043	0.000000	0.000000
0.136986	-1.123104	0.001951	-0.666805	0.001951	-1.842230	0.000000	0.000000
0.164384	-1.144171	0.001619	-0.665933	0.001619	-1.864169	0.000000	-0.000000
0.191781	-1.178045	0.001515	-0.674837	0.001515	-1.889139	0.000000	0.000000
0.219178	-1.195583	0.001604	-0.667902	0.001604	-1.913611	0.000000	0.000000
0.246575	-1.224373	0.001786	-0.672198	0.001786	-1.938105	0.000000	0.000000
0.273973	-1.239906	0.001628	-0.672160	0.001628	-1.953677	0.000000	-0.000000
0.301370	-1.265935	0.001564	-0.675009	0.001564	-1.976856	0.000000	-0.000000
0.328767	-1.288054	0.001398	-0.671395	0.001398	-2.002590	0.000000	0.000000
0.356164	-1.317522	0.001454	-0.673490	0.001454	-2.029963	0.000000	-0.000000
0.383562	-1.342299	0.001580	-0.668048	0.001580	-2.060182	0.000000	0.000000
0.410959	-1.366097	0.001812	-0.663363	0.001812	-2.088665	0.000000	-0.000000
0.438356	-1.399087	0.001910	-0.660150	0.001910	-2.124868	0.000000	-0.000000
0.465753	-1.439995	0.001815	-0.670190	0.001815	-2.155735	0.000000	-0.000000
0.493151	-1.459440	0.001681	-0.666040	0.001681	-2.179331	0.000000	0.000000
0.520548	-1.490798	0.001769	-0.668474	0.001769	-2.208255	0.000000	-0.000000
0.547945	-1.522877	0.001660	-0.672600	0.001660	-2.236208	0.000000	0.000000
0.575342	-1.542486	0.001749	-0.667902	0.001749	-2.260514	0.000000	0.000000
0.602740	-1.572074	0.001817	-0.667744	0.001817	-2.290260	0.000000	0.000000
0.630137	-1.595553	0.001683	-0.670630	0.001683	-2.310853	0.000000	-0.000000
0.657534	-1.620908	0.001646	-0.675199	0.001646	-2.331639	0.000000	0.000000
0.684932	-1.637737	0.001582	-0.674206	0.001582	-2.349462	0.000000	-0.000000
0.712329	-1.661431	0.001715	-0.668839	0.001715	-2.378523	0.000000	0.000000
0.739726	-1.687510	0.001569	-0.671030	0.001569	-2.402411	0.000000	0.000000
0.767123	-1.710929	0.001899	-0.669100	0.001899	-2.427759	0.000000	0.000000
0.794521	-1.734374	0.001935	-0.671395	0.001935	-2.448910	0.000000	0.000000
0.821918	-1.753981	0.001958	-0.667187	0.001958	-2.472724	0.000000	-0.000000
0.849315	-1.774573	0.002087	-0.667780	0.002087	-2.492723	0.000000	0.000000
0.876712	-1.804125	0.001939	-0.666283	0.001939	-2.523772	0.000000	-0.000000
0.904110	-1.830287	0.001945	-0.667570	0.001945	-2.548647	0.000000	0.000000
