Loading parameters from parameters.yml
Starting Simulation
day	diversity	tmrca	netau	serialInterval	antigenicDiversity	N	S	I	R	cases	meanLoad	antigenicTypes	cumulativeTypes
10	0.043	0.025	0.274	0.005	0.000	40000	38461	1539	0	3569	12.000	1	1
20	0.097	0.052	0.274	0.006	0.000	40000	38147	1853	0	4722	12.000	2	2
30	0.148	0.079	0.274	0.007	0.000	40000	38747	1253	0	3474	12.000	1	2
40	0.201	0.107	0.274	0.008	0.000	40000	39416	584	0	1674	11.000	1	2
50	0.248	0.134	0.274	0.009	0.000	40000	39780	220	0	625	11.000	1	2
60	0.301	0.162	0.274	0.010	0.000	40000	39912	88	0	243	11.000	1	2
70	0.318	0.189	0.274	0.009	0.000	40000	39957	43	0	100	11.000	1	2
80	0.331	0.216	0.274	0.012	0.000	40000	39972	28	0	53	11.000	1	2
90	0.390	0.244	0.274	0.008	0.000	40000	39974	26	0	44	12.000	1	2
100	0.390	0.271	0.274	0.010	0.000	40000	39976	24	0	41	12.000	1	2
110	0.430	0.299	1.712	0.011	0.000	40000	39973	27	0	38	12.000	1	2
120	0.461	0.326	1.612	0.010	0.000	40000	39976	24	0	37	12.000	1	2
130	0.478	0.352	1.245	0.012	0.000	40000	39977	23	0	30	12.000	1	2
140	0.530	0.381	1.612	0.009	0.000	40000	39973	27	0	41	12.000	1	2
150	0.531	0.407	1.522	0.008	0.000	40000	39978	22	0	43	11.000	1	2
160	0.627	0.436	1.957	0.010	0.000	40000	39976	24	0	47	12.000	1	2
170	0.685	0.463	2.740	0.009	0.000	40000	39975	25	0	37	12.000	1	2
180	0.683	0.490	1.712	0.008	0.000	40000	39976	24	0	41	11.000	1	2
190	0.670	0.518	1.442	0.008	0.000	40000	39975	25	0	43	12.000	1	2
200	0.752	0.545	1.442	0.010	0.000	40000	39972	28	0	41	11.000	1	2
210	0.757	0.573	1.612	0.010	0.000	40000	39974	26	0	38	12.000	1	2
220	0.788	0.600	1.442	0.009	0.000	40000	39974	26	0	48	12.000	1	2
230	0.722	0.626	1.015	0.008	0.000	40000	39976	24	0	36	11.000	1	2
240	0.848	0.655	1.612	0.008	0.000	40000	39972	28	0	40	11.000	1	2
250	0.889	0.682	1.612	0.008	0.000	40000	39973	27	0	38	11.000	1	2
260	0.878	0.710	1.370	0.009	0.000	40000	39973	27	0	44	11.000	1	2
270	0.962	0.737	1.522	0.009	0.000	40000	39974	26	0	49	12.000	1	2
280	0.945	0.764	1.245	0.011	0.000	40000	39974	26	0	37	11.000	1	2
290	1.029	0.792	1.612	0.009	0.000	40000	39973	27	0	39	11.000	1	2
300	1.015	0.819	1.305	0.009	0.000	40000	39976	24	0	34	12.000	1	2
310	1.073	0.847	1.522	0.009	0.000	40000	39973	27	0	45	11.000	1	2
